Term,1,2,3,4
GE treatment,-10.196***,-10.185***,-14.593***,-14.187**
,(3.948),(3.947),(5.658),(5.750)
Efficiency treatment,10.913**,9.776**,6.797,6.658
,(4.538),(4.536),(6.619),(6.726)
Constant,35.771***,33.911***,36.333***,42.458***
,(3.103),(3.573),(4.379),(9.948)
Charitable motivation,,0.121,-0.036,-0.014
,,(0.100),(0.162),(0.156)
GE treatment*Charitable motivation,,,0.287,0.162
,,,(0.204),(0.199)
Efficiency treatment*Charitable motivation,,,0.180,0.155
,,,(0.233),(0.233)
Observations,155,155,155,155
R-squared / pseudo R-squared,0.139,0.148,0.155,0.184
