table_id,treatment,variable,mean,std_dev,observations
Table A.1,GE,Age,24.361702127659573,3.8488961239144395,94
Table A.1,GE,Male,0.5638297872340425,0.4985680708325772,94
Table A.1,GE,Study subject #1,0.1702127659574468,0.37783474433782077,94
Table A.1,GE,Study subject #2,0.2127659574468085,0.41145794871387054,94
Table A.1,GE,Study subject #3,0.6170212765957447,0.4887197006250085,94
Table A.1,Prosocial,Age,24.208333333333332,4.052073326781493,96
Table A.1,Prosocial,Male,0.6770833333333334,0.47004572379305865,96
Table A.1,Prosocial,Study subject #1,0.17708333333333334,0.3837431066870447,96
Table A.1,Prosocial,Study subject #2,0.19791666666666666,0.4005204946899305,96
Table A.1,Prosocial,Study subject #3,0.625,0.4866642633922876,96
Table A.1,Neutral,Age,25.38888888888889,4.7492032316832065,90
Table A.1,Neutral,Male,0.5666666666666667,0.4983117565757134,90
Table A.1,Neutral,Study subject #1,0.15555555555555556,0.3644639317587663,90
Table A.1,Neutral,Study subject #2,0.18888888888888888,0.3936131804579367,90
Table A.1,Neutral,Study subject #3,0.6555555555555556,0.4778489044986781,90
Table A.1,Efficiency,Age,25.775,6.627498736008806,120
Table A.1,Efficiency,Male,0.5666666666666667,0.4976133515281193,120
Table A.1,Efficiency,Study subject #1,0.21666666666666667,0.4137009298802136,120
Table A.1,Efficiency,Study subject #2,0.19166666666666668,0.3952625620991683,120
Table A.1,Efficiency,Study subject #3,0.5916666666666667,0.4935863156332357,120
