table_id,model,term,coefficient,std_error,fit_stat,observations,p_value
Table 2,1,Wage<5,-0.7072368421052447,0.032763343,0.25623888,1710,0.0
Table 2,1,Constant,0.8177631578947259,0.020682411,0.25623888,1710,0.0
Table 2,2,Wage<5,-0.7593085106383374,0.039826117,0.25998774,1710,0.0
Table 2,2,Prosocial treatment,0.0314716312056662,0.041369151,0.25998774,1710,0.4468056880423297
Table 2,2,Wage<5*Prosocial treatment,0.1030585106383411,0.064531066,0.25998774,1710,0.11025742330133914
Table 2,2,Constant,0.8018617021276672,0.032737371,0.25998774,1710,0.0
Table 2,3,Wage<5,-0.7593085106382331,0.039872892,0.2632626,1710,0.0
Table 2,3,Prosocial treatment,0.0352772659930459,0.040095542,0.2632626,1710,0.3789513389090382
Table 2,3,Wage<5*Prosocial treatment,0.1030585106382394,0.064606853,0.2632626,1710,0.11067562014325238
Table 2,3,Constant,0.7565682210492536,0.14670995,0.2632626,1710,2.510747252326695e-07
Table 2,4,Wage<5,-5.417393993376094,0.40224975,,1710,0.0
Table 2,4,Constant,2.237109383777403,0.25343046,,1710,0.0
Table 2,5,Wage<5,-6.473968330693749,0.75649291,,1710,0.0
Table 2,5,Prosocial treatment,0.4151458585311961,0.42603588,,1710,0.32983875093405723
Table 2,5,Wage<5*Prosocial treatment,1.667330603080367,0.9083969,,1710,0.06643683881663698
Table 2,5,Constant,2.012217930064253,0.28395084,,1710,1.375344282905644e-12
Table 2,6,Wage<5,-6.516575742857769,0.75265801,,1710,0.0
Table 2,6,Prosocial treatment,0.4772279758952253,0.41830695,,1710,0.2539298699438677
Table 2,6,Wage<5*Prosocial treatment,1.713891066224754,0.90424639,,1710,0.058041996821544206
Table 2,6,Constant,1.333302375735179,1.385995,,1710,0.3360585973775194
Table 3,1,Wage,0.0891057605546849,0.0047023352,0.45909974,1710,0.0
Table 3,1,Constant,0.620442258231428,0.15680248,0.45909974,1710,7.594789824438841e-05
Table 3,2,Wage,0.0912523151446071,0.0066857752,0.46560442,1710,0.0
Table 3,2,Prosocial treatment,0.7489469439080455,0.30231944,0.46560442,1710,0.013236708820951293
Table 3,2,Wage*Prosocial treatment,-0.0042483892925555,0.0094005875,0.46560442,1710,0.6513208075389758
Table 3,2,Constant,0.2420269602568369,0.14166689,0.46560442,1710,0.08755789954285653
Table 3,3,Wage,0.0912523151446068,0.0066936268,0.49103326,1710,0.0
Table 3,3,Prosocial treatment,0.6338714558888873,0.37417427,0.49103326,1710,0.09025500342586334
Table 3,3,Wage*Prosocial treatment,-0.0042483892925544,0.0094116284,0.49103326,1710,0.6517027968006974
Table 3,3,Constant,-2.992739786674085,1.2389605,0.49103326,1710,0.015712553393963713
Table 3,4,Wage,0.1381905844696933,0.0082882373,0.1378241,1710,0.0
Table 3,4,Constant,-1.825757115202299,0.35967338,0.1378241,1710,3.851531487075732e-07
Table 3,5,Wage,0.1449988153562091,0.010894287,0.14051175,1710,0.0
Table 3,5,Prosocial treatment,1.430931693631292,0.62587053,0.14051175,1710,0.022236349511366216
Table 3,5,Wage*Prosocial treatment,-0.0134974785560165,0.015957888,0.14051175,1710,0.397653945218182
Table 3,5,Constant,-2.551929596640048,0.41332069,0.14051175,1710,6.649423234250662e-10
Table 3,6,Wage,0.1450190904347353,0.01105873,0.1499301,1710,0.0
Table 3,6,Prosocial treatment,1.340447725374785,0.70661759,0.1499301,1710,0.057829029423008604
Table 3,6,Wage*Prosocial treatment,-0.0141142765195199,0.015919143,0.1499301,1710,0.3752819677333816
Table 3,6,Constant,-7.607781709749287,1.9463818,0.1499301,1710,9.280216590434875e-05
Table 4,1,Prosocial treatment,10.19636524822696,3.951901,0.066477917,95,0.009876696959168374
Table 4,1,Constant,25.57446808510638,2.4434905,0.066477917,95,0.0
Table 4,2,Prosocial treatment,10.18679925478038,3.9577184,0.073308229,95,0.010055728674220887
Table 4,2,Charitable motivation,0.0980949146158554,0.11047423,0.073308229,95,0.37457094840829486
Table 4,2,Constant,24.07173747822519,3.161155,0.073308229,95,2.6423307986078726e-14
Table 4,3,Prosocial treatment,14.59329598740222,5.6677256,0.087848358,95,0.010029621668755428
Table 4,3,Charitable motivation,0.2503095975232201,0.12434062,0.087848358,95,0.04410453708842099
Table 4,3,Prosocial treatment*Charitable motivation,-0.2867896451706295,0.20414001,0.087848358,95,0.16006071206744688
Table 4,3,Constant,21.73993808049535,3.5891781,0.087848358,95,1.386148529292086e-09
Table 4,4,Prosocial treatment,13.21808860928182,5.6685581,0.11544041,95,0.01970987034209104
Table 4,4,Charitable motivation,0.1448776971098009,0.1486278,0.11544041,95,0.3296751074406785
Table 4,4,Prosocial treatment*Charitable motivation,-0.1823262397014772,0.20313607,0.11544041,95,0.36942167214742505
Table 4,4,Constant,21.35986890627353,13.294213,0.11544041,95,0.10811925462900374
